30163509,飞驰人生,韩寒,韩寒,沈腾 / 黄景瑜 / 尹正 / 张本煜 / 尹昉 / 田雨 / 魏翔 / 赵文瑄 / 腾格尔 / 易小星 / 李庆誉 / 高华阳 / 刘帅良 / 李玲玉 / 何穗 / 潘晓婷 / 田沅 / 李春嫒 / 冯绍峰,剧情 / 励志 / 喜剧, 中国大陆, 汉语普通话 / 英语,2019-02-05(中国大陆),98分钟, Pegasus,tt9597190
4840388,新喜剧之王,周星驰,周星驰,王宝强 / 鄂靖文 / 张全蛋 / 景如洋 / 张琪 / 袁兴哲 / 田启文 / 黄骁鹏 / 蔡哲睿 / 苗溢伦,剧情 / 喜剧, 中国大陆 / 香港, 汉语普通话 / 粤语,2019-02-05(中国大陆),91分钟, 喜剧之王2 / D计划 / The New King of Comedy / King of Comedy 2,tt9368628
26369709,欢迎来到马文镇 Welcome to Marwen,罗伯特·泽米吉斯,罗伯特·泽米吉斯 / 卡罗琳·汤普森,史蒂夫·卡瑞尔 / 法尔克·亨特切尔 / 马特·欧莱瑞 / 尼古莱·维切尔 / 帕特里克·罗卡斯 / 亚历克斯·洛韦 / 艾莎·冈萨雷斯 / 莱斯利·泽米吉斯 / 梅里特·韦弗 / 格温多兰·克里斯蒂 / 加奈儿·梦奈 / 莱斯利·曼恩 / 尼尔·杰克逊 / 西沃恩·威廉姆斯 / 黛安·克鲁格 / 埃里克·李塞德 / 康拉德·科茨 / 薇娜·苏德 / 帕特里克·萨邦圭 / 弗雷泽·艾奇逊 / 杰夫·桑卡 / 特雷弗·琼斯 / 莎伦·克兰德尔,剧情 / 传记, 美国, 英语,2018-12-21(美国),116分钟, 马克的异乡世界(台) / 马文科尔 / Marwencol / The Women of Marwen,tt3289724
30287729,正义联盟大战致命五人组 Justice League vs. The Fatal Five,刘山姆,Jim Shooter,凯文·康瑞 / 乔治·纽伯恩 / 苏珊·爱森伯格 / 丹妮拉·玻芭迪拉 / 素玛立·蒙塔诺 / 菲利普·安东尼-罗德里格 / 马修·杨·金 / 塔拉·斯特朗 / 黛安·格雷罗,动画, 美国, 英语,2019-03-30(美国),Nan,Nan,tt8752474
30349667,指挥家 De dirigent,玛利亚·彼特斯,玛利亚·彼特斯,克里斯蒂亚娜 ‧德‧布奥恩 / 本杰明·温赖特 / 斯科特·特纳·菲尔德 / 塞马斯·F·萨金特 / 安妮特·马尔赫毕 / 雷蒙德·提哈瑞 / 吉斯·舒尔腾·范·艾查特 / 理查德·塞梅尔 / 西恩·托马斯 / 蒂姆·埃亨 / 安娜·安顿诺威兹 / 席琳·珀赛尔 / 奇普·布雷 / 玛丽-克莱尔·维特洛克斯 / 杰里迈亚·弗莱明 / 詹姆斯·卡罗尔·乔丹,传记, 荷兰, 英语,2018-10-25(荷兰),137分钟, The Conductor,tt6932818
27622447,小偷家族 万引き家族,是枝裕和,是枝裕和,中川雅也 / 安藤樱 / 松冈茉优 / 城桧吏 / 佐佐木美结 / 树木希林 / 绪形直人 / 池松壮亮 / 森口瑶子 / 山田裕贵 / 片山萌美 / 柄本明 / 高良健吾 / 池胁千鹤,剧情 / 家庭 / 犯罪, 日本, 日语,2018-08-03(中国大陆) / 2018-05-13(戛纳电影节) / 2018-06-08(日本),117分钟(中国大陆) / 121分钟, Shoplifters / Une Affaire de Famille / Manbiki kazoku,tt8075192
25986662,疯狂的外星人,宁浩,孙小杭 / 董润年 / 吴楠 / 刘晓丹 / 潘依然,黄渤 / 沈腾 / 汤姆·派福瑞 / 马修·莫里森 / 徐峥 / 于和伟 / 雷佳音 / 刘桦 / 邓飞 / 蔡明凯 / 王戈 / 凯特·纳尔逊 / 王砚伟 / 呲路,喜剧 / 科幻, 中国大陆, 汉语普通话 / 英语,2019-02-05(中国大陆),116分钟, Crazy Alien,tt6660238
26374197,蜘蛛侠：平行宇宙 Spider-Man: Into the Spider-Verse,鲍勃·佩尔西凯蒂 / 彼得·拉姆齐 / 罗德尼·罗斯曼,菲尔·罗德 / 罗德尼·罗斯曼 / 布莱恩·本迪斯 / 萨拉·皮凯利 / 史蒂夫·迪特寇 / 斯坦·李 / 戴维·海因 / 法布里斯·萨波尔斯基,沙梅克·摩尔 / 杰克·约翰逊 / 海莉·斯坦菲尔德 / 马赫沙拉·阿里 / 布莱恩·泰里·亨利 / 莉莉·汤姆林 / 劳伦·维勒斯 / 佐伊·克罗维兹 / 约翰·木兰尼 / 金可·格伦 / 尼古拉斯·凯奇 / 凯瑟琳·哈恩 / 列维·施瑞博尔 / 克里斯·派恩 / 娜塔丽·莫瑞丝 / 奥斯卡·伊萨克 / 格里塔·李 / 斯坦·李 / 乔玛·塔科内 / 华金·科西奥 / 蕾克·贝尔 / 梅勒妮·海恩斯 / 尼克·杰恩 / 穆尼卜·拉赫曼 / 卡洛斯·萨拉戈萨 / 黛西·罗斯·布莱内斯 / 里夫·霍顿 / 哈里森·奈特 / 莱克斯·朗 / 凯特琳·麦肯纳-威尔金森 / 斯科特·门维尔 / 克里斯托弗·米勒 / 德维卡·帕利赫 / 柯特妮·佩尔顿 / 克里斯蒂·法瑞斯 / 杰奎琳·皮诺尔 / 贾斯汀·沉卡罗 / 梅利莎·斯特姆,动作 / 科幻 / 动画 / 冒险, 美国, 英语 / 西班牙语,2018-12-21(中国大陆) / 2018-12-14(美国),116分钟(中国大陆) / 117分钟(美国) / 143分钟(加长版), 蜘蛛侠：新纪元 / 蜘蛛人：新宇宙(台) / 蜘蛛侠：跳入蜘蛛宇宙(港) / 蜘蛛侠：平行世界 / Spider-Man: a New Universe,tt4633694
30331149,白蛇：缘起,黄家康 / 赵霁,大毛,张喆 / 杨天翔 / 唐小喜 / 刘薇 / 张遥函 / 郑小璞 / 张博恒 / 张赫 / 马程 / 程寅 / 陈霖生 / 惠龙 / 林强 / 章斌 ,爱情 / 动画 / 奇幻, 中国大陆 / 美国, 汉语普通话,2019-01-11(中国大陆),99分钟, White Snake,tt9288776
27109679,密室逃生 Escape Room,亚当·罗比特尔,布拉吉·F·舒特 / 玛丽亚·梅尔尼克,泰勒·拉塞尔 / 洛根·米勒 / 黛博拉·安沃尔 / 泰勒·莱伯恩 / 杰·埃利斯 / 尼克·多达尼 / 杰西卡·萨顿 / 约里克·范·韦杰宁根 / 杰米-李·蒙尼 / 亚当·罗比特尔 / 韦尔·廷德尔 / 肯尼思·霍 / 科尼利厄斯·吉尼 / 保罗·汉普赛尔 / 佩泰·塞彭克 / 丹·格伦伯格 / 吉诺·李,悬疑 / 惊悚, 美国, 英语,2019-01-18(中国大陆) / 2019-01-04(美国),100分钟, 密室逃殺(港) / 密弑游戏(台) / 密室逃脱 / 逃生室 / 迷宫 / The Escape Room,tt5886046
26394152,大黄蜂 Bumblebee,特拉维斯·奈特,克里斯蒂娜·霍德森,海莉·斯坦菲尔德 / 小豪尔赫·兰登伯格 / 约翰·塞纳 / 杰森·德鲁克 / 帕梅拉·阿德龙 / 斯蒂芬·施耐德 / 里卡多·霍约斯 / 约翰·奥提兹 / 格林·特鲁曼 / 兰·卡琉 / 格蕾丝·达斯恩妮 / 弗里德·杜莱尔 / 蓝尼·雅各布森  / 梅金·普莱斯 / 萨钦·巴特 / 蒂姆·马丁·格里森 / 安东尼奥·查丽蒂 / 艾德文·霍德吉 / 拉斯·斯兰德 / 迪伦·奥布莱恩 / 彼特·库伦 / 安吉拉·贝塞特 / 贾斯汀·塞洛克斯 / 大卫·索博洛夫 / 格蕾·德丽斯勒 / 史蒂夫·布卢姆 / 安德鲁·莫尔加多 / 威廉·W·巴伯 / 罗伯特·切斯纳特 / 米歇尔·方 / 克里斯蒂安·哈切森 / 里克·理查森 / 瓦内萨·罗斯 / 波士顿·拉什·弗里曼 / 托尼·托斯特 / 迪娜·特鲁迪 / 艾蒂安·维克,动作 / 科幻 / 冒险, 美国 / 中国大陆, 英语,2019-01-04(中国大陆) / 2018-12-21(美国),114分钟, 大黄蜂大电影 / 大黄蜂独立电影 / 变形金刚外传：大黄蜂 / 变形金刚外传大黄蜂 / Brighton Falls,tt4701182
